评论内容,观点词
"我来回答赠杂志的问题。我按书中要求,以挂号信的方式将书中的表单寄回。大概花了我4块7。过了大概有两个月。正当我绝望的以为上当受骗时。三本杂志居然寄来了。呵呵。非常精美。高兴死了。所以大家耐心等待吧。不过是一定要寄挂号信才行吗?请寄过平信收到杂志的朋友来解释一下。",两个月后收到杂志。
"键盘上空格键,不知是设计问题还是质量问题,按得极不舒服,敲好几下才有反应,几乎是失灵的状态,鼠标暂时没有出现问题。",键盘有问题
good.不错,good
"送货时间久~估计是没货吧……   给外甥女买的,正在看呢~书中图片很多,记录详实,值得一看!",不错~回忆类型的书
鼠标大 适合大手 小手会不太舒服 用来几天习惯后这个鼠标还不错 定位确实准确 表面材质也舒服,适合大手
"帮同事买的,她很满意。",很好
结果让我感到豁然开朗,内心的喜欢
"本书论述了科学技术成为意识形态的历史演变,探讨了科学技术何以成为意识形态,比较了科技意识形态与传统意识形态的区别,提出了破解和超越科技意识形态的途径。是研究意识形态方面的理论工作者绝对不能错过的一本书~~",非常喜欢这本书
"经典教程。。但是新手,看着有点费劲~",经典教程。。
"生不起病的年代里,这本书真的又不错的效果。","不想生病的时候,可以看看。"
内容还没看 但纸质、字体、翻译、封面等方面质量都不错。,书质量不错
可以。质量好。送货快。方便。,东西好
"书破了一个角,真是。。",书是破的
"国产的牌子就是不行,开关算是结构最简单的东西了,新的东西居然开关也能使坏的,什么也不说了,用开关关不了,调风还能调,就是关的话得直接拔电源,再也不买超人的东西了","第一次买超人这个牌子的东西,买回来开关就是坏的,也懒得换"
"书不错,文章也很好,支持卓越。下次还要买。","书不错,文章也很好,支持卓越。下次还要买。"
"书不错,就是贵了点,定价8块钱还差不多.",书不错
"虽然《大败局2》写的事情,在当年发生时,从各种媒体已经了解了很多,但通过作者的视角,多年后再看,还是受益匪浅。事发当时的媒体大多是叙述、揭秘以及批判。而本书作者更多的是思考探索而不是简单的批判。非常喜欢。","很好的一本书,很喜欢"
"速度较快,不是很难但是也绝对不会简单到让人觉得自信;前面的选择不错,但是后面的填空和正式的考试有比较大的差距,生词较正式的考试多很多;不适合考前训练。 总体来说不错,可以在距离考试一到两个月的时候来做。",不错的四级特训。
"一次买了很多东西,就这个是最喜欢的,还会来",喜欢
"得之,我幸,将莫言的风采展现的淋漓尽致",好
"本来是想儿子学完一课后,可以对着来描写,谁知道里面的内容跟儿子学的不相关,才几元,懒得退了",内容与人教版不一样
"拿到书的那一刻,利用空余时间分段给读完的,确实是好书啊,看几遍都能学到新东西!包装也很好!",好书
可是为什么送过来一本好像是垫过桌脚的 上面N多的灰 让人看了恶心。。。,低价诱惑啊
"准备考计算机二级了,买了这套题库,运来比想象中薄,质量一般吧,希望好好看看能一次就考过",还行
"能给4分,就是没体验到震动",感觉还不错
"非常好的,我很喜欢,质量好,打印也不错我非常喜欢",非常好
"书的质量很好,看得很过瘾啊",好评
"达到了我对产品的预期,颜色漂亮,质量也没问题",质量没问题
"文道的笔锋还算是比较犀利的,不过本书或多或少还是有些隐晦之处的,看看吧。",读来还是有些回味
昨天晚上顶的  中午就到了  拿回来一看很满意 物有所值  而且够大,很满意  和同学一人一个
"今天我定的耳机到货了,很好,也及时。只是没有耳机包,很遗憾,可否补上。邮费我承担。谢谢!",关于耳机包
"很好,很实用的书本。",很好
堪布讲了很对  在生活中我们可以慢慢体验 善因善果,内容丰富
"但这部是先看的电视剧,再看书,因为脑子里有电视剧的印象,就被左右了,实在不好先读书的好。美不是来自于艺术的再创造吗?有一千个读者就有一千个阿Q了呀。不过海岩的作用还是很喜欢的。大部分都是丝丝入扣,情节引人,不能释手的,大多数的作用中,年轻的主人公的命运读来让人扼腕叹惜。",喜欢海岩的作品
"小巧精致,一个人读书的时候用,很雅!",购买过此商品
音质不错对得起这个加钱,漫步者H185P线控耳机带麦克风三星小米HTC笔记本耳塞话筒手机耳麦蓝色
"9个月的娃很喜欢,虽然还不大懂,但是喜欢亲小毛毛虫,摸大毛毛虫,手戳小洞洞。缺点是书皮很硬,四角很尖,不要让孩子拿着玩以免意外。",有趣的书
"除了送的锁是坏的,有点小遗憾,其他还满意,轮子挺滑的,不过没有经过旅途的考验。","送的锁是坏的,其他满意"
"繁体竖排,影印本。总体来说还是不错的,唯一的缺憾就是有个别地方印的不是很清楚。",不错的版本
"书的质量很好,内容也很喜欢,很棒!",很喜欢
"包装,翻译,印刷都很好。如果为读书而买,超值!",各方面都很好
"很小巧,做工很不错,就是不太好拔。",很喜欢
"之前一直在*东商城买东东,因为这款手机亚马逊比*东商城便宜90元所以在这买的。*东商城描述里有耳机,而亚马逊描述里没耳机。心想便宜90元没耳机也划算(平常不怎么用耳机)。但是收到货是有耳机的,亚马逊你这是要闹哪样啊? 我用的电信的宽带,电信很奇葩的套餐你懂的,办个宽带非要让我用3个电信手机号,家里有个华为的C8813D,跟这次买的中兴N880G配置,功能基本一样。但中兴N880G比华为C8813D便宜300多(目前市场价)。 手机系统运行流畅,看看新闻、糗百,聊聊QQ足够用了。电池2000毫安也算可以了,只是做工有些欠缺,后盖太薄而且有些松,两侧中间亮色带有些松,拿手机的时候会咯吱咯吱的响。看10分钟左右新闻手机后背有些烫。(本屌丝没空调,室温35度左右) 总之这个价格能买到这样的手机很满意了(电信手机相比联通移动手机贵) 最后说一点亚马逊你商品描述真的很模糊,有的东东你不标明,让我如何敢买。建议亚马逊去看看*东商城的商品描述","功能齐全,价格实惠,放心。"
"图很美,挺有意思,小孩应该喜欢吧。。","挺有意思的,小孩应该喜欢"
"和电脑上的换装秀不同,动手给芭比穿衣服感觉也很好。书本质量还不错,就是感觉衣服有点少。不过不影响宝贝对它的喜爱。",女孩子都喜欢的书
在亚马逊买真的很划算哦。,很喜欢
"企业的发展在于员工的生机勃勃,而生机来源于领导者,如果一个企业的人事部门成天只考虑如何去处罚员工而不是想着如何给员工谋取福利,那企业不会进步",管理是严肃的爱
"印刷质量上乘,纸张质量好,正版。","印刷质量上乘,纸张质量好,正版。"
"结局很让人失望,太仓促的感觉,不过还是了结了一个怨念~",太匆匆
"励志的书,没讲太多东西,还好吧",一般吧
非常好用 信号很好 价格实惠 不错,非常好用 信号很好 价格实惠 不错
"优点:应该是正品,包装完好,没有其他评价里标签脱落的问题,半价抢的,值了 缺点:无",应该是正品
"玻璃的产品,看着干净,值!!!",好
"不错的东西, 烧的又快又糯,  很好  就是贵了",很好
喜欢庄大的简单暴力~,"太好了,此书送女友的"
"买了两本历年真题解析及预测试卷,发货速度蛮快的,一天就收到了。就是,封皮上提示封皮上提示的考试前赠送两套押题试卷迟迟未收到...",商品评论
"书的质量不错,内容也还行",还可以
应该是正品啦 感叹下现在u盘的降价速度 呵呵,正品
"这是我第一次在网上买这么贵重的东西,开始还很担心。货到的时候,真心觉得很不错,亚马逊的包装很完整,在原包装外又加了一个包装盒,并且还垫了气袋减震,很满意。","好东东,真心不错"
"比较""经典,物有所值,快递按时。",.好比较好
"功能不错。反正这种偏机械式的收音机也就这样了。就是不能接收到校园频率有些不满。害的我为了听力考试,还得再去买个收音机。",功能比较好
"非常棒,内容很全面,画面很精彩,非常满意",书很好
很油。拿来冬天擦手吧,很油
"孩子很喜欢,已经快买齐全了",笑猫日记
"价格便宜。一本原版打折最低也得十几二十块,这本只要八块。 纸张好。原版书纸张都是环保纸,轻、但是毛毛糙糙(像卫生纸)。这本是中国人习惯的书籍纸。 大小好。原版书排版密密麻麻。这本书排版宽松适中还留了点地可以写写注释感想。",比外文原版好太多了!
差强人意吧!纸张一般,还好
"边看边想起大话西游,想起那插曲。如果爱情没有了无奈没有了命运的戏弄,是否反而不够凄美不够动人心?",不断想起......
"内容比较详细,业务必备书籍",不错
没有扫描功能的。一般家用够了,无扫描功能
我是跟网上读过觉得有用才来买的 但是感觉还是比网上的有少许删节 总之还可以,印刷比较好 内容写的也可以
书挺好的宝宝很喜欢当晚打开包装抱着睡觉的,不错
"送货还是挺快的,包装也不错,防震的,很细心。样式可以,和图片的一样,试了一下图像还想,话筒也不错,就是底座不是那么理想,有一点不稳,不过总体不错,这个价钱很合适。",还不错
"内容无法接受,太垃圾了,和美容学校买的初级美容师完全是两回事来的,连最基本的脸部穴位图片都没有,更不用说身体,胸部,卵巢,眼睛,脸部刮痧,排毒的了,还敢写是国家职业资格培训教程?美容师(初级,哎,到现在还没回复我可不可以换,一点售后服务都没有,好失望,以前对亚马逊的印象挺不错的,现在完全改观了","无法接受书的内容,失望,"
这本书比较满意。两天看完了。。内容就不用我多做评论了。,不错~
"很喜欢这本书。但是这本书是退换的,与之前那本书的价格相比较,还有余额没有退回给我",喜欢
不错的书 帮你找人生的方向,good book
"书好快就到了,5月28下单,30就到了,书质量很好,赞一个!关于内容,待看完书再提供!","书好快就到了,5月28下单,30就到了,书质量很好,赞一个!关于内容,待看完书再提供!"
"产品不好用!很浓的酒精味!不过快递员服务非常好,可能不会在这里买护用品,但是还是会买其它东东。",不好用
"封面是软的装订的一般,很担心它那天会散开",还行吧
"应该还好吧,反正收着呗",还没拆封
想学语法的就换一本吧。 这个适合做着玩。,不适合考试用
"不知道是不是这书本来就是这个样子的,买了两次,感觉纸张有点经不起折腾啊,就在想会不会我这书还没看完,纸叶就全掉了。不过内容还是好咯",可以
"书的内容没问题,我在图书馆看到好才想买的,只是这本感觉是压箱底的,表面上有很多那种白色的条条什么的,说不打上来,反正对书本身质量不太满意",书有点儿旧……
"书非常新,包装很好,内容丰富,吸收了顺序记忆和分类记忆的优点!实用!",非常干净
"下单第2天就到货,可能是我运气不好第1个不好使,我要求换货,没想到第2天就换到手了,不得不说服务真赞!","发货快,服务好!"
"好书,朱总理的真话集,人民的优秀总理,唉,还是快点发书!我11号下的《朱镕基答记者问》,到今日还是尚未发货。真的太慢了!!!!","建议卓越网发书快些,先睹为快!"
"不愧是大家之作。一年级的宝宝都听得入神,然后说:“好美呀!”",好美呀!
"很好,送货速度很快,很专业",好
"雖然還沒有看。 翻了翻印刷看起來不錯,出版者碼字辛苦了,希望校對也同樣的好。 另外,希望千萬不要是閹割版。——在此表示對天朝出版事業的擔憂。 本書不是當年的原版,也不是影印版,而是簡體字重排的。想要收藏價值或想看原版的朋友就不用買了。",不錯的書。
"送书时间较快,书的质量蛮好。。",书的质量蛮好。。。
"买了两本,印刷质量很好,对五岁孩子稍微简单了点",孩子喜欢
"虽然刚推出时就听过,依然大爱《第二人生》。除了每首歌自身的特点与耐听度,出众的专辑整体概念和曲间连续性带来的想象余地,使得几乎每一首都非常经典。","2012,连接末日与明天"
"书昨天收到的,还没看完。书质量不错,是正版,比想象的好的多。",好书
不错比照片感觉还好些,用起来很好
"名著,真的不想多说什么,很多东西,还是自己去感觉的好,听别人说,不如自己去看一看,自己去做一做。","细读,你会爱上她!"
"看了评论知道书是用回收纸印刷的,字体排版比较密,所以书拿回来的时候,一点也不惊讶,只是密集的排版确实看起来没有那么好看,不过字还是很清晰的,但是如果想买回来收藏的话,就要慎重了。",感觉还可以
很好用!!对我很有帮助!!,很好!!
"给妻子买的,用后比较满意。外形非常好看,做工特精致,比50、60元的强多了、超值。",值得信赖
"物美价廉,下次还会光顾这个牌子","物美价廉,下次还会光顾这个牌子"
"“接任市长徐正为省长郭奎所赏识,是个能力极强,雷厉风行的干才,他直接插手多个重大项目,推动海川经济发展不久,海川政坛又起波澜,孙永借口处理一起普通的挪用公款案,矛头直指徐正接受贿赂,两人几乎短兵相接将相失和,剑拔弩张,就在徐正感到走投无路时,省纪委突然宣布孙永被“双规” 海川政坛似乎就要尘埃落定,不料风云再起,狂飙惊天”······这部分的内容怎么没有?这本书有下集???",这本书有上下集吗?
"52块买入这款刀,只是因为它的牌子是十八子,挺出名的。快递也很快,两天就到我手上了。切东西超级方便,并且很锋利。毫不夸张说,切肉就像切豆腐一样。不过说明不能用来砍骨头的,所以就不敢试了,打算准备买多一把专用来砍骨头的用。 十八子的刀确实好用,不过亚马逊的商品质量也真的很好。继续支持!!",非常好用
有时间的烤鸭们好好看看吧,很好
"这是我迄今为止读过最好的书,意蕴隽永,回味无穷,令人手不释卷。 (翻译果真经典,禁得住细细揣摩,书中保留原著中的拉丁语、法语、希腊语,仅在书页下注释翻译,保留了原作韵味,书中提到大量的历史人物,书页下均有原名批注,保证读者不会因为不同翻译版本造成对西方历史人物的误读。) (书的封面是小说中重要细节的展示——楼堡平面图的复制平铺。当然,那又好似绽开的玫瑰。) 这本小说讲的不是玫瑰,是历史(教会的大分裂时代前期,人文主义兴起时期,城市与君权方兴未艾之时,对西方中世纪历史不太熟悉不太感兴趣的朋友恐怕读不下这本书,对教会、教派、修道院这些名词不感冒的读者也可能对此本大部头敬而远之了。同时,这篇小说本身就是根据一份历史上真实存在的稿件写成的。) 是作者对真理、笑、理性等等,对这世界万象的观点流露与阐发,他借小说人物之口,间接传达了自己的观点。(本人觉得书中一段对“人是如何被边缘化”的论述极为精辟) 是一个推理故事,人理性的光辉与脆弱性得到了淋漓尽致的展示。(其中涉及了符号学、光学、文学、神学、植物学、哲学、数学.......作者若不是文坛巨擘,也可谓是思想与神秘学中的佼佼者了。) 玫瑰(除了浪漫的意象)在西方是神秘、美好、未知的象征。拉丁语中sub rosa,就是偷偷、隐秘地干某事,演化到英语里就变成了under the rose。作者以《玫瑰的名字》为书题,结尾以“昔日玫瑰以其名流芳,今人所持为玫瑰之名(Stat rosa pristina nomine, nomina nuda tenemus)。”作结。实际是化用了古诗中的Stat Roma pristina nomine, nomina nuda tenemus(昔日罗马以其名闻名,今人空识罗马之名)昔日的美好,是因其内容闻名,是昔人的经历,今人无法体会,今人不会经历,今人空知美好之名,而再也不能晓得其内容了。用Rosa提调Roma,让人在神秘和未知之中对前文的故事,往昔的种种,陷入一种思考..... 也尝试着一种新的解读 昔日玫瑰以其名流芳,今人所持为玫瑰之名","昔日玫瑰以其名流芳,今人所持为玫瑰之名"
"感觉还是不错的,比电脑城的崴货好多了","感觉还是不错的,比电脑城的崴货好多了"
好!值得购买!推荐!,贾植芳先生纪念集
非常好!好书不多说。,好书!
"不错,值得购买,价格便宜。",性能不错。
是一本不可多得的好书,非常好
"很实用,也很方便! 喜欢用香蕉、牛奶打成奶昔! 清洗也很方便!",非常喜欢
"弄在脸上洗不掉啊,好差勒",特别差啊
"喜欢,不过还是觉得《人生若只如初见》更精彩些。",喜欢才子的词
"连接挺方便的,信号质量ok,比想象中的轻",不错
"纸张不错,质量很好 对了解一些群体行为 有深刻的了解",心理巨著
"着款饮水机实在是太差了,胶味很重,弄的水根本没法喝,更郁闷的是才用两次加热的功能就坏了,无语。以后不敢在这买东西了。",不满意
"书是免费送的,没有评论的那么好也没那么差,觉得实在没什么更好的选择才选的这本。印刷还是挺不错的,画面也挺美,可以欣赏一下。",印刷还是挺不错的
"请注意: 如果说中央编译出版社出版(2008年版)的书算早的话,那么本书,中国城市出版社出版(2009年版)的书也晚不到哪里去。 问题是这本书本来卖的是中国城市出版社的,但是实际上封面等的在线试读内容却是中央编译出版社的。",网上试读介绍和本版本的书并不符合呀
"如题,另外声音录入效果很好",做工精致
"东西不错,外观无损伤,快递也快很好,相信我还会再来的",东西不错
想考公务员的有必要去看看 了解了解,公务员
"不多说,很好,音质很给力",音质ok
"很喜欢,培训机构教材",正版
"送给朋友的,她挺喜欢。",不错
"中国古代画派大范本这一系列的书都适合专业临摹者用,有局部放大部分和整幅画卷部分,印刷到位。十分满意。",不错!
"书不错,可以,速度快,推荐",不错
"内存小,速度慢,屏幕分辨率低","不好用,价格也不便宜"
"带着这本书去欧洲,有些欧洲的历史及来源都基本涉及到了。给当地的导游看了,都说很好的书,里面配的图都是很难得见到的,分散在欧洲各个地方的,也可以算做是指引了,他指出只有一幅图写错了说明, 因为原件他见过。 这套书里的古罗马,古希腊,航海时代,中世纪都好, 就是写埃及的文明的曙光这本书不如图说天下系列里的古埃及好。",内容很有用
"人的性格原来有那么多种,用好了就可以发挥出特质。我喜欢这本书。",书很不错
"一切都还是老样子,老风格,都不错,唯一的缺点是,小开本的硬硬的,给孩子看就有点吃力了。",挺好的一本几米
"这学期新开的课程, 这本书觉得很不错,正版书,到货速度也很快, 非常满意","书很好,到货也很快"
书的内容不错。。。。。,还可以
"延续笛安一贯的风格,文字冷静而清冽。有点类似推理,一步一步抽丝剥茧到最后才恍然大悟的结局令人不胜唏嘘。",延续笛安一贯的风格
买的书里最喜欢的一本 有我喜欢的插画 喜欢有插画的书,最值得买的
"颜色和照片一样好,质地好",很好
"相对这个手感,价格由点偏高了,现在鼠标键盘这类配件价格偏高,是普遍现象","还行,不错"
"但比起第一二部来说,还是稍差一些",经典的延续
"蛮不错的,里面的故事蛮有趣的,",喜欢
"很不错的洗面奶,洗完脸上感觉很干净!",POND'S旁氏亮采净白系列米粹润白洁面乳150g
"一支支,我还以为和那种瓶装的会有很大区别,等用过才发现原来效果,气味差不多,而且狂脱发。晕啊。 唯一的优点是出差时比较方便,因为酒店里没护发素,带一大瓶子的又麻烦,那个时候,这小支的优势就发挥出来了。",就和普通的护发素一样
"开本挺大的,装订设计都很好,内容也很好读,很吸引人,是我最近买的最吸引人的书了。 很喜欢这种给人正面能量的读物! 卓越配送没得说,当天下单,当天送到。",很好的书
"非常好,颜色好,质量也好。",书很好。
"质量很好,不错,好好看看",不错
"做工还可以,仔细看细处有一些加工时留下的痕迹。不知是普遍存在的现象还是个别情况。总体做工还是对得起28元的价格。亮度不错。",还可以
"还行。对于外贸员来说 ,有点参考意义",还行哦
"高木直子的书读了让人很开心,有乐趣",好书!
包装很精美 插画很漂亮 色彩丰富 孩子爸爸读的时候 我看着图片 就能联想到很多美好的故事情节和画面 非常不错 还送了一张胎教音乐碟,包装精美
"外表美观大方,很灵敏。很不错。 刚买就降价40元,打给客服,客服态度很好,说在降价的24小时之内联络,就会退差价。处理让人很满意。",挺好。。
刚收到书  没仔细看呢,挺好的
"质量非常好,图片精美,尤喜蓝色封面;文字一如既往的“奶茶”味,值得珍藏",又见奶茶的文字
"看着不错,绝对物超所值,没想到D-link产品这么菜,竟然没有开关","连开关都没有,真是服了"
"孩子挺喜欢的,一套包括6本,涵盖了6种不同领域的知识,开阔了视野,增长了知识,每套还附有练习手册,孩子看过书再去做练习,感觉很有成就感!",内容丰富
"质量很好,相对于春秋装,算是比较厚的。",质量很好
"有点失望,质量不太好",还可以
"不能承受的太多,是轻是重,自己把握,是取是舍,慢慢斟酌吧。",生命
"1. 个人购买价格为179,传输中的秒杀。 2. 价钱不菲了,效果稍微实验 待定、 3. 以上信息供参考",标记一下179购买的
"看了一部分还行,准备多读几遍",学会提问
这本书的内容绝对是物有所值 排版也很好  印刷也没有问题 但是纸张不是特别好  只是过得去 个人认为  还不错 卓越的书质量基本没什么问题,物有所值
"首先感谢卓越网以极快的速度让我拿到了曲集,我真是十分感谢。这本曲集对歌曲用钢琴伴奏,做了认真的编配,曲中还适当的加了琶音,使歌曲伴奏音乐丰富多彩。但也有些歌曲编配的比较呆板,干巴巴的,弹奏出来不太好听。因此作为初学者初期练习也还是可以的。",评论曲集
"书的名字有点吸引人,内容简直就是流水账,没有突出本书的核心,真是现在什么都炒作",内容与书名不符
"延续了郎咸平的一贯风格,内容与别的书有重复的部分,主要是目前国情的分析,比较通俗易懂",还不错
"因为从很久之前便开始读七堇年的书,所以至今仍有依恋。 很快便读完了这本书,有些失望,毕竟再比不上《大地之灯》。 且随着年龄的增长,越来越对这样的文字感到厌烦。 但仍愿意读她的书,望再次收获如《大地之灯》般的感动。",无题
"只试用了吸尘器功能,感觉还可以,线够长,东西不算小,但是拿放都还可以,只是扁嘴的吸口如果能是软橡胶的就更好了,现在是硬塑料的,有些边角的地方还是吸不到。吸力不是很大……",感觉还不错
"外包装和图片不一样,沐浴露的香味也不一样,原本就是冲着这个图片包装的香味去的,结果很是失望,嫌麻烦就收货了。",外包装和图片不一样
"很需要,好多地方都买不到了。","纸质有点薄,不过应该是正品"
"很厚,很精致。内容丰富,很受启发。",很好的乐高书。
"书很普通,很多游戏意义不大。",很普通的游戏
"很不错的书,值得购买。对需要获得一定营销知识的人帮助很大。","很不错的书,值得购买。"
"还是很有难度的,作为一个大一新生还做不出此听力入门1实在惭愧,不过里面题型多,坚持下去听力会有很大提高的, 推荐给基础较好的同学使用,较好以下的咬咬牙做下来会有很大提升,我们一起咬咬牙吧~",额...
"冲着新产品,外形不错去的,但实际上很小,但外型并不怎么亮丽,感觉很脆弱,实际上也很脆弱,非关键的折叠外壳是金属的,关键机身是轻薄塑料的,金属折叠外壳起了杠杆的作用,插在电脑上可以很轻易的折断U盘,物理可靠性很低。实测速度很失望,远慢于同门DT101 G2,还比后者贵4元,后悔啊!后悔!这个唯一的优点是小,其他全是缺点。","外形小巧,可靠性低,速度慢"
很快就看完了~很真实易懂的小道理~在现实生活中很受用~小姐妹们可以拿来试试~,蛮好的
"内容不错,女儿爱看。",内容不错
"封皮凹凸有致,很有手感。很喜欢。有塑料膜包着,很新。",跟照片一样
"可以的书,全是诗,老师让读,里面有些诗句还是很精髓的",ok啦
"不错的冰箱,一个人用很适合,噪音不算大,单间公寓也不会影响睡眠",冰箱不错
"就是一本以张居正为例子,向你阐述官场厚黑学的破书!!!垃圾中的极品!2货一样的装帧,简直就像地摊货,黄书一般风格的封面!那些对人物的评价,就是叫你怎么往上爬,没有一点深度!这本书是我买了100多元书送的,亚马逊这点真要改进,送的书好歹有些品味好不!他的那些对张居正的评价,让我觉得作者就是个圆滑世故的人,而不是一个学者!!!!!我想撕掉它,垃圾!买它降了我的品味!!!","垃圾,太强调权术,诡计,忽视对人物的解读"
"这书是身为娱记的作者写的所遇所感的点滴,看时好象看到另一面了.活着,都是不容易滴",话说
"适合备考TOPIK考试,大爱!",适合备考使用
可预见的是 当人类决战机器人3 当人类决战机器人4 当人类决战机器人5 当人类决战机器人6 当人类决战机器人7 当人类决战机器人8 其实这是 海伯利安系列,当人类决战机器人系列丛书
很喜欢啊和朋友一起看的,评价
"还不错啦,挺实惠的。大家可以试下!","还不错,挺实惠的"
"今天中午货到了,让我很开心,我们家是个小地方,货也可以在一天之内到达,这让我坚定了在卓越亚马逊买书的信心,书很漂亮,印刷也没问题,我很喜欢。喜欢雪漫姐的文字,她的文字可以指引我们这个年龄的孩子走出迷茫,这是一本很适合中学生读的书,真的很好~~~",很开心
"是帮同学买的,他说不错,他很喜欢。",同学拿我号定的
包装挺好  没破损 日期是2012年1月份的 还算新鲜,不错  日期也新鲜
"书很薄,价钱有点贵,文章内容不是太好,有点空洞。","价钱很不值,而且不是很有感觉"
"还没看,是老师推荐的,值得",好
"装帧古朴有种做旧的味道,内容很丰富画工娴熟洒脱彩搭配靓丽,主题公园的内容创意也值得学习,总之很不赖",是本值得收藏的书
通话效果极差!还缺发票!而且无法退换货!,通话效果极差!还缺发票!而且无法退换货!
"精致漂亮的小风扇,个人用很合适",真的喜欢
卓越就是好!书正版价格便宜!就是速度慢!,不错!
"看了几例,书还是蛮好的,对我的象棋有一定的提高",无题
"很好的书,就是贵了点。要是便宜点就好了。。。。",孩子喜欢的书
"讲解详细,条理清晰,基本不用看教材,直接复习这个就够了","很不错,全面讲解"
"我买这只硬盘想回来换手提电脑的硬盘,花了九牛二虎之力终于打开了硬盘盒,坑爹的事发生了,原来希捷挂羊头卖狗肉,硬盘是三星的",坑爹的希捷
"小小的,携带很方便,就是纸质很破,怎么像是盗版呀",很强大
"总体很好,我也不怎么玩游戏,单核的配置可以了,系统是4.0.4,挺新的。",性价比不错
"子春老师对人艺老中青三代编导演人员作了大量深入细致的采访和收集工作,尽管她有天时地利人和的优势,但是看了书才知道,这些工作和整理的确不容易。所以,《谁在舞台中央 》这本书有血有肉有生活有意思。记录了人艺几代人的故事。好看!",梅花香自苦寒来
"包装太简陋了,虽然曲子还不错 喜欢的可以考虑购买","包装太简陋了,虽然曲子还不错 喜欢的可以考虑购买"
"此书内容的选编不严谨,没有参考价值。 大家不要上当!",很糟糕的一本书
"印刷挺好,解放军出版社的书,编校质量好。",研究历史装备
"书印刷很好,字大小合适,不过内容有点难懂,需要一定的古文功底",很有深度
速度确实不是特别快啊,好
"包装的不错,已经在卓越买了很多次书了,都很满意",不错
"这个跟之前的儒林外史比起来就没那么值了,印刷也没那个好,不过价格便宜啊~",还行
"书还不错,难度比想象中大。",评价
"在图书馆看过一些了,不只是纯粹的吻,喜欢女主对人生的微妙感性描写","有趣,特别"
"我是想看的电影才买的书,同学说书写的比电影版的好,可能是我想看电影的原因吧,我觉得各有各的好,在小说里面我还是比较喜欢林静一些。",相比电影···
"是看了大家的评论才买的,但是书拿到手里很喜欢!","很好,喜欢!"
这本书就是苏三记事!!!列出了他的一些生活小技巧!!!,商品评论
"书可以,公务员的书都那样;值得一说的是,包装很给力,就一本书,用了一个大盒子装的,用充气泡沫填满,不错!",不错的练习册
"蒙文通先生的高足,牟宗三先生为数甚少的同朋好友之一,学术上受其启发颇多。已经看过此书电子版,内容非常好,也很重要。定价太高,不合理。",牟宗三先生的好友
"孩子刚上一年级,非常适合这样的孩子读。在卓越网买书真的非常好!!!",适合刚上学的学生
"没什么异味,不错,风量够,连续用几个小时都很正常。有三个热风档位,比上一代的好,出风口可以手动上下调。",挺好
"光盘是唐俊乔美女的竹笛演奏专辑CD-流浪者之歌,害我以为是教学光盘。真是会误导人",光盘与书不配套
"好书,赞美一个,放在孩子路径的地方,慢慢陶冶他。了不起的大师的作品!",好大的开本!
英语版本的。。还是有需要的,好
"书是好书,但是总是没货!好不容易看见来货了.一买,还是没货....急呀!",为什么总没货!!!
"本书给我的震撼远不止书中所记录的历史,而是认识世界或者事物的角度。中国不缺文献,但是本书作者严谨的治学态度令人钦佩。这是一本了解中国解放后经济史的书籍,也是了解中国共产党作为执政党在经济方面探索的文献。强烈推荐!",很棒的一本书
"这书很实用,而且比较接近现实!",本次评价
谢谢!真的很好!以后多点来买就是啦!,不错!质量一流.
"结局实在很烂,早知道这个结局,诛仙一本也不买!!!",结局实在很烂
"孩子小,冬天用处大。","好货,吹暖风较快。"
"纸张,印刷,外包装都可以,值这个价。",质量不错
"纸质挺好的,是典型的国外图书的用纸,轻薄,只是还不够小,算不上口袋书,但总体来说很好啦",不错哦~
"认真看完了一遍,虽然只是简述一个女人的简单生活,却蕴含了生活中的点滴细节同样可以造就另一个精彩人生:女强人的生活依然可以很幸福美满,只是需要的是不懈的努力,应该会再一次欣赏一遍的",女强人的完美生活
"一下买了六本书,连邮费打完折才五十多,质量还不错。只是突然发现书好像成了最便宜的奢侈品了",很好
"书本不错,插图很多。而且够便宜。。。。。。。。。。。。。。。。。。。。。。。。。。。。。",达?芬奇笔记
"很动人,很喜欢这种类型的书",很喜欢
"女儿刚四岁,每天几乎都要做好几页题,更培养孩子兴趣的书应该是好书吧。我愿意推荐。",喜欢
"帮练太极拳的朋友买的,图文并茂挺好的",挺好
"非常喜欢,而且步骤很详细,适合初学者呀···",很喜欢···
"今天收到书籍的包裹,包装得很好,满意。","书籍是正版的,送货速度很快,希望继续保持。"
"小巧,如果只要WIFI功能,插上电源,接上有线网,直接用。操作简单,很喜欢","操作简单,很喜欢"
"书质量很好,内容也很好,很喜欢这种风格",超级喜欢
"我过敏发炎差不多半年了,也快半年没用洗面奶洗脸了,脸两三天就要犯病一次,会出黄水,用药也没法根治。大胆的试了一下丝塔芙,一个星期了,炎症不仅没复发,原来糙糙的皮肤也变光滑了,这是太神奇了。希望这种效果可以一直持续下去!","抑制了我的皮炎,一级棒"
"同学说是口袋书,希望卖家能注明一下。质量还不错。","正常吧,还好。"
"他点名要这本,应该还行",送朋友的
"跟以前一样,依然很喜欢,看了一个多月看完了,好享受啊~",不错
还是很好的 还有介绍化妆品,不错
"书还不错,有点被撕破的地方,但是就是没有给我打发票,我要发票,希望补开给我",没有给我发票
